,alerts,apiInfoId,apiType,destinationIP,destinationPort,hasProvidedSpecDiff,hasReconstructedSpecDiff,hostSpecName,id,method,path,requestTime,sourceIP,specDiffType,statusCode,time,query
15,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6222,GET,/catalogue/d3588630-ad8e-49df-bbd7-3167f7efb246,2023-01-19T13:08:36.362Z,192.168.157.162,,200,2023-01-19T13:08:37.448Z,
16,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6221,GET,/catalogue,2023-01-19T13:08:34.862Z,192.168.157.162,,200,2023-01-19T13:08:35.167Z,tags=red%2Caction%2Cgeek&page=1&size=100
17,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",4,INTERNAL,10.96.105.147,80,False,False,carts.sock-shop,6220,POST,/carts/hrMSd9h1b3XgDefNtiWJdOsjhyBIOVbk/items,2023-01-19T13:08:32.027Z,192.168.157.162,,201,2023-01-19T13:08:32.141Z,
18,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6219,GET,/catalogue/d3588630-ad8e-49df-bbd7-3167f7efb246,2023-01-19T13:08:32.008Z,192.168.157.162,,200,2023-01-19T13:08:32.020Z,
19,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6218,GET,/catalogue,2023-01-19T13:08:30.806Z,192.168.157.162,,200,2023-01-19T13:08:30.901Z,tags=action&page=1&size=100
20,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6217,GET,/catalogue,2023-01-19T13:08:27.875Z,192.168.157.162,,200,2023-01-19T13:08:27.885Z,tags=blue%2Caction&page=1&size=100
21,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6216,GET,/catalogue,2023-01-19T13:08:27.059Z,192.168.157.162,,200,2023-01-19T13:08:27.080Z,tags=red%2Cmagic%2Cformal%2Cblack%2Caction%2Cformal%2Csport&page=1&size=100
22,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",4,INTERNAL,10.96.105.147,80,False,False,carts.sock-shop,6215,POST,/carts/hrMSd9h1b3XgDefNtiWJdOsjhyBIOVbk/items,2023-01-19T13:08:24.934Z,192.168.157.162,,201,2023-01-19T13:08:25.002Z,
23,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6214,GET,/catalogue/837ab141-399e-4c1f-9abc-bace40296bac,2023-01-19T13:08:24.925Z,192.168.157.162,,200,2023-01-19T13:08:24.933Z,
24,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6213,GET,/catalogue,2023-01-19T13:08:24.660Z,192.168.157.162,,200,2023-01-19T13:08:24.670Z,tags=magic%2Cgreen%2Cbrown%2Csport%2Cbrown%2Caction%2Cskin%2Cgreen%2Cgeek&page=1&size=100
25,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6212,GET,/catalogue,2023-01-19T13:08:22.723Z,192.168.157.162,,200,2023-01-19T13:08:22.751Z,tags=red&page=1&size=100
26,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6211,GET,/catalogue,2023-01-19T13:08:20.685Z,192.168.157.162,,200,2023-01-19T13:08:20.697Z,tags=green%2Cgeek%2Cblue%2Cgeek%2Cmagic%2Cgeek%2Cmagic%2Csport&page=1&size=100
27,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",4,INTERNAL,10.96.105.147,80,False,False,carts.sock-shop,6210,POST,/carts/hrMSd9h1b3XgDefNtiWJdOsjhyBIOVbk/items,2023-01-19T13:08:20.194Z,192.168.157.162,,201,2023-01-19T13:08:20.282Z,
28,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6209,GET,/catalogue/837ab141-399e-4c1f-9abc-bace40296bac,2023-01-19T13:08:20.108Z,192.168.157.162,,200,2023-01-19T13:08:20.225Z,
29,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",4,INTERNAL,10.96.105.147,80,False,False,carts.sock-shop,6208,GET,/carts/hrMSd9h1b3XgDefNtiWJdOsjhyBIOVbk/items,2023-01-19T13:08:17.337Z,192.168.157.162,,200,2023-01-19T13:08:17.514Z,
30,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6207,GET,/catalogue,2023-01-19T13:08:16.042Z,192.168.157.162,,200,2023-01-19T13:08:17.452Z,tags=black%2Cgreen%2Cgeek%2Cred%2Cblack%2Cskin%2Cmagic%2Cblue%2Cgreen%2Csport%2Csport&page=1&size=100
31,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6206,GET,/catalogue,2023-01-19T13:08:12.495Z,192.168.157.162,,200,2023-01-19T13:08:12.572Z,tags=action%2Cgreen&page=1&size=100
32,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6205,GET,/catalogue,2023-01-19T13:08:08.248Z,192.168.157.162,,200,2023-01-19T13:08:10.746Z,tags=&page=1&size=100
33,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6204,GET,/catalogue,2023-01-19T13:08:05.394Z,192.168.157.162,,200,2023-01-19T13:08:05.399Z,tags=formal%2Cskin&page=1&size=100
34,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",4,INTERNAL,10.96.105.147,80,False,False,carts.sock-shop,6203,POST,/carts/hrMSd9h1b3XgDefNtiWJdOsjhyBIOVbk/items,2023-01-19T13:08:05.055Z,192.168.157.162,,201,2023-01-19T13:08:05.165Z,
35,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6202,GET,/catalogue/808a2de1-1aaa-4c25-a9b9-6612e8f29a38,2023-01-19T13:08:05.043Z,192.168.157.162,,200,2023-01-19T13:08:05.053Z,
36,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6201,GET,/catalogue,2023-01-19T13:08:03.459Z,192.168.157.162,,200,2023-01-19T13:08:03.466Z,tags=blue%2Cred%2Cskin%2Cred%2Cblack%2Caction%2Cbrown%2Cbrown%2Cbrown&page=1&size=100
37,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6200,GET,/catalogue,2023-01-19T13:08:02.305Z,192.168.157.162,,200,2023-01-19T13:08:02.310Z,tags=brown%2Cgeek%2Cgreen%2Csport%2Cblack%2Cgeek%2Cbrown%2Cgeek%2Cred%2Cred%2Cskin&page=1&size=100
38,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6199,GET,/catalogue,2023-01-19T13:08:00.035Z,192.168.157.162,,200,2023-01-19T13:08:00.041Z,tags=formal%2Cbrown%2Cblue%2Cgreen&page=1&size=100
39,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6198,GET,/catalogue,2023-01-19T13:07:58.861Z,192.168.157.162,,200,2023-01-19T13:07:58.877Z,tags=red&page=1&size=100
40,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6197,GET,/catalogue,2023-01-19T13:07:58.567Z,192.168.157.162,,200,2023-01-19T13:07:58.599Z,tags=red%2Caction%2Cformal%2Csport&page=1&size=100
41,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",4,INTERNAL,10.96.105.147,80,False,False,carts.sock-shop,6196,POST,/carts/hrMSd9h1b3XgDefNtiWJdOsjhyBIOVbk/items,2023-01-19T13:07:56.999Z,192.168.157.162,,201,2023-01-19T13:07:57.147Z,
42,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6195,GET,/catalogue/a0a4f044-b040-410d-8ead-4de0446aec7e,2023-01-19T13:07:56.883Z,192.168.157.162,,200,2023-01-19T13:07:57.056Z,
43,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6194,GET,/catalogue,2023-01-19T13:07:54.931Z,192.168.157.162,,200,2023-01-19T13:07:54.937Z,tags=sport%2Cbrown%2Cgreen%2Cgeek%2Cblack%2Csport%2Csport&page=1&size=100
44,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6193,GET,/catalogue,2023-01-19T13:07:54.681Z,192.168.157.162,,200,2023-01-19T13:07:54.872Z,tags=skin%2Cmagic&page=1&size=100
45,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",4,INTERNAL,10.96.105.147,80,False,False,carts.sock-shop,6192,POST,/carts/hrMSd9h1b3XgDefNtiWJdOsjhyBIOVbk/items,2023-01-19T13:07:51.056Z,192.168.157.162,,201,2023-01-19T13:07:51.185Z,
46,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6191,GET,/catalogue/510a0d7e-8e83-4193-b483-e27e09ddc34d,2023-01-19T13:07:50.553Z,192.168.157.162,,200,2023-01-19T13:07:51.157Z,
47,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6190,GET,/catalogue,2023-01-19T13:07:50.522Z,192.168.157.162,,200,2023-01-19T13:07:51.156Z,tags=red&page=1&size=100
48,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6189,GET,/catalogue,2023-01-19T13:07:47.710Z,192.168.157.162,,200,2023-01-19T13:07:47.956Z,tags=black%2Cblack%2Cgeek%2Cgreen%2Cblack%2Cblack%2Cblack%2Cblack%2Cgeek&page=1&size=100
49,"[{'alert': 'ALERT', 'moduleName': 'traceanalyzer', 'reason': 'ALERT_WARN'}]",5,INTERNAL,10.96.196.111,80,False,False,catalogue.sock-shop,6188,GET,/catalogue,2023-01-19T13:07:47.710Z,192.168.157.162,,200,2023-01-19T13:07:47.955Z,tags=green%2Cblack%2Cmagic%2Cformal%2Cblue%2Cskin%2Cblue%2Cgeek%2Caction&page=1&size=100
